,host_acceptance_rate,host_is_superhost,host_identity_verified,latitude,bathrooms,price,has_availability,instant_bookable,Private room,within a day,within a few hours,kitchen,Breakfast,Nespresso machine,TV,security_cameras,Wifi,hot_water,log_min_nights,log_max_nights,log_nreviews,log_accommo
0,100.0,1,1,37.98863,2.0,79.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,3.481240089335692,2.1400661634962708
1,100.0,1,1,37.98903,1.0,50.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,3.960813169597578,1.5040773967762742
2,100.0,1,1,37.98888,1.0,38.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,4.269697449699962,0.9162907318741551
3,100.0,1,1,37.98903,1.0,48.0,1,1,0,0,0,1,0,0,1,1,1,1,0.4054651081081644,7.025982660346787,3.1986731175506815,1.5040773967762742
4,100.0,1,1,37.98924,1.0,47.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,2.8622008809294686,1.5040773967762742
5,100.0,1,1,37.97545,1.0,59.0,1,0,0,0,0,1,0,0,1,1,1,1,0.9162907318741551,7.025982660346787,6.143112096717122,1.5040773967762742
6,100.0,0,1,37.97962,1.0,39.0,0,0,1,0,0,0,0,0,0,0,0,0,0.4054651081081644,6.593729231190754,-0.6931471805599453,0.4054651081081644
7,50.0,0,0,38.00673,1.0,30.0,1,0,0,0,0,1,0,0,1,0,1,1,1.7047480922384253,5.901266279189834,4.269697449699962,1.7047480922384253
8,0.0,1,1,37.9767,1.5,120.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,5.901266279189834,4.799914262780603,2.0149030205422647
9,100.0,0,0,37.969190000000005,1.0,70.0,1,0,0,0,0,1,0,0,1,0,0,0,2.3513752571634776,6.593729231190754,1.252762968495368,0.9162907318741551
10,82.0,0,1,37.99018,2.0,50.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,5.839187111662404,1.8718021769015913
